Source,Target
61550283796273,100088594703151
61550283796273,61550283796273
61550283796273,100008345610005
61550283796273,61556738729809
61550283796273,100095103133859
61550283796273,100041484623620
61550283796273,100008324950136
61550283796273,100077357386019
61550283796273,100065090642633
61550283796273,100014317358185
61550283796273,61550126819200
61550283796273,100054910423397
100088594703151,100088594703151
100088594703151,100041484623620
100088594703151,61550283796273
100088594703151,100008345610005
100088594703151,61556738729809
100088594703151,100095103133859
100088594703151,61554915431792
100088594703151,61556104888322
100088594703151,61552640409239
100088594703151,100014273507985
100088594703151,100085515082566
100088594703151,61555880259922
100088594703151,100058280664735
100088594703151,100012321823470
100088594703151,100057333633567
100088594703151,100012352123998
100088594703151,100092874405676
100088594703151,100083856866712
100088594703151,100092019707383
100088594703151,100082007520705
100088594703151,100027345253080
100088594703151,100063541380208
100088594703151,100075905346438
100088594703151,100017358190593
100088594703151,100022018094606
100088594703151,100046446772480
100088594703151,100068246993114
100088594703151,100082808707725
100088594703151,61568587877172
100088594703151,100013901134343
100088594703151,100091244434585
100088594703151,100070435053033
100088594703151,61562451763894
100088594703151,100077647720238
100088594703151,100089023634201
100088594703151,61556351535118
100088594703151,100036350019842
100088594703151,100071107759479
100088594703151,61550159922139
100088594703151,100077357386019
100088594703151,100043324862425
100088594703151,100040497994033
100088594703151,100085357846748
100088594703151,100004704511136
100088594703151,100095220515898
100088594703151,100004535224928
100088594703151,100084546131025
100088594703151,100008324950136
100088594703151,100034706624027
100088594703151,100028674397070
100088594703151,100026606032605
100088594703151,100054910423397
100088594703151,100053677395923
100088594703151,100088155348975
100088594703151,61550777121357
100088594703151,100022617162120
100088594703151,100060199256939
100088594703151,100050780864692
100088594703151,100007685823189
100088594703151,100074857171830
100088594703151,100082856597891
100088594703151,100072043896456
100088594703151,100052029754426
100088594703151,100023287521654
100088594703151,100070282214133
100088594703151,100060593779511
100088594703151,61561473827978
100088594703151,100082958383698
100088594703151,100026678832145
100088594703151,100063007507024
100088594703151,100080805487256
100088594703151,100029031125985
100088594703151,100078837252454
100088594703151,100007781775458
100088594703151,61552836721992
100088594703151,100011523067971
100088594703151,100003078803520
100088594703151,100016445409072
100088594703151,100025556970696
100088594703151,100075024616233
100088594703151,100068478362260
100088594703151,100034014305068
100088594703151,100047315741656
100088594703151,61560482101714
100088594703151,100095319623416
100088594703151,100092742712317
100088594703151,61552690064279
100088594703151,100065144320327
100088594703151,100023596429782
100088594703151,100091635555706
100088594703151,100068040733348
100088594703151,100095185989683
61550283796273,100088594703151
61550283796273,100041484623620
61550283796273,61550283796273
61550283796273,100008345610005
61550283796273,61556738729809
61550283796273,100095103133859
61550283796273,100077357386019
61550283796273,100008324950136
61550283796273,100014317358185
61550283796273,61550126819200
61550283796273,100054910423397
61550283796273,100065090642633
61550283796273,100001928784511
61550283796273,61550777121357
61550283796273,100085357846748
61550283796273,100060199256939
61550283796273,100053677395923
61550283796273,100069340175374
61550283796273,100016764784980
61550283796273,100095220515898
61550283796273,100027252690464
61550283796273,61550487225451
61550283796273,100009581060366
61550283796273,100082856597891
61550283796273,100048843586832
61550283796273,61554915431792
61550283796273,100012894038865
61550283796273,61550159922139
61550283796273,100085515082566
61550283796273,100084546131025
61550283796273,100026234840426
61550283796273,100086883931832
61550283796273,100080496498831
61550283796273,100053853641966
61550283796273,61560082322600
61550283796273,61561473827978
61550283796273,100038882689854
61550283796273,61552268211140
61550283796273,100050630497530
100008345610005,100088594703151
100008345610005,100041484623620
100008345610005,61550283796273
100008345610005,61556738729809
100008345610005,100040497994033
100008345610005,100082856597891
100008345610005,61563042933000
100008345610005,100050780864692
100008345610005,100075905346438
100008345610005,100004704511136
100008345610005,100025556970696
100008345610005,61560082322600
100008345610005,100008345610005
100008345610005,100016764784980
100008345610005,100054079831956
100008345610005,100054910423397
100008345610005,100008324950136
100008345610005,100006859542189
100008345610005,100074959581000
100008345610005,100053853641966
100008345610005,100081074267996
100008345610005,100027755682632
100008345610005,100073483181771
100008345610005,100007781775458
100008345610005,100035957405556
100008345610005,100013901134343
100008345610005,100052029754426
100008345610005,100053677395923
100008345610005,100023951380992
100008345610005,100052660100204
100008345610005,100012239161676
100008345610005,100059862954076
100008345610005,100069753923088
100008345610005,100023301432395
100008345610005,100034146016019
100008345610005,100072043896456
100008345610005,100048114376548
100008345610005,100095220515898
100008345610005,100085515082566
100008345610005,100091244434585
100008345610005,100082958383698
100008345610005,100026678832145
100008345610005,100078221063486
100008345610005,100029031125985
61556738729809,100088594703151
61556738729809,100041484623620
61556738729809,61550283796273
61556738729809,100091244434585
61556738729809,100088155348975
61556738729809,100028078485712
61556738729809,100008345610005
61556738729809,100008324950136
61556738729809,61556738729809
61556738729809,100040497994033
61556738729809,61552640409239
61556738729809,100088208283757
61556738729809,100095103133859
61556738729809,100046446772480
61556738729809,100014273507985
61556738729809,100082856597891
61556738729809,100023596429782
61556738729809,100023287521654
61556738729809,100029031125985
61556738729809,100017358190593
61556738729809,100040531343045
61556738729809,100035741765988
61556738729809,100093988186744
61556738729809,100001928784511
61556738729809,61550777121357
61556738729809,100085357846748
61556738729809,100060199256939
61556738729809,100053677395923
61556738729809,100069340175374
